"","target","bat_h","bat_2b","bat_3b","bat_hr","bat_bb","bat_so","bas_sb","bas_cs","bat_hbp","p_h","p_hr","p_bb","p_so","f_e","f_dp","bat_1b","total_bases","saber"
"1",39,1445,194,39,13,143,842,101,49,0,1518,84,536.5,813.5,156,149,1199,1756,780.688621499708
"2",70,1339,219,22,190,685,1075,37,28,0,1347,191,689,1082,193,155,908,2172,1043.24755988727
"3",86,1377,232,35,137,602,917,46,27,0,1377,137,602,917,175,153,973,2090,984.384615384615
"4",70,1387,209,38,96,451,922,43,30,0,1396,97,454,928,164,156,1044,1960,914.348687185896
"5",82,1297,186,27,102,472,920,49,39,0,1297,102,472,920,138,168,982,1843,870.532591267109
"6",75,1279,200,36,92,443,973,107,59,0,1279,92,443,973,123,149,951,1827,851.750344242657
"7",80,1244,179,54,122,525,1062,80,54,0,1244,122,525,1062,136,186,889,1897,889.121666936814
"8",85,1273,171,37,115,456,1027,40,36,0,1281,116,459,1033,112,136,950,1863,881.711259685079
"9",86,1391,197,40,114,447,922,69,27,0,1391,114,447,922,127,169,1040,2010,945.070876628018
"10",76,1271,213,18,96,441,827,72,34,0,1271,96,441,827,131,159,944,1808,849.222814823552
"11",78,1305,179,27,82,374,888,60,39,0,1364,86,391,928,119,141,1017,1784,836.222843171498
"12",68,1372,203,31,95,509,801,119,79,0,1372,95,509,801,147,150,1043,1922,901.527632499917
"13",72,1332,196,41,55,597,816,221,109,0,1340,55,601,821,185,165,1040,1775,816.95170944702
"14",76,1265,210,23,63,534,812,126,80,0,1265,63,534,812,150,139,969,1710,792.300300485276
"15",74,1380,233,40,131,542,880,159,89,0,1380,131,542,880,147,137,976,2086,977.484682025543
"16",87,1417,226,28,108,539,682,86,69,0,1417,108,539,682,136,136,1055,2023,950.269448462883
"17",88,1563,242,43,164,589,843,100,53,0,1563,164,589,843,135,172,1114,2383,1126.68020217003
"18",66,1460,239,32,107,546,900,92,64,0,1478,108,553,911,136,146,1082,2084,974.58017233425
"19",75,1390,197,24,143,579,841,65,49,0,2047,211,536.5,1239,149,177,1026,2064,988.097200326022
"20",93,1518,268,26,186,613,760,55,53,0,1518,186,613,760,106,171,1038,2396,1138.24376834951
"21",70,1467,241,22,154,509,835,41,39,0,1467,154,509,835,154,190,1050,2214,1052.07156622799
"22",81,1363,211,30,150,556,928,80,51,0,1363,150,556,928,128,170,972,2084,991.375732976032
