"","target","bat_h","bat_2b","bat_hr","bat_bb","bat_so","bat_hbp","p_h","p_hr","p_bb","p_so","f_dp","bat_3b^0.39","bas_sb^0.24","bas_cs^0.23","f_e^-0.76","bat_1b","total_bases","saber"
"1",39,1445,194,13,143,842,62,1518,84,536.5,803,190,8.15145038144351,11.5406503904959,8.04131918839688,1.29412504909297,1229.84854961856,1694.30290076289,760.762330277255
"2",70,1339,219,190,685,1075,64,1347,191,689,1082,155,6.00442897728118,5.8021802467856,4.99443208292869,1.2984522353271,923.995571022719,2140.00885795456,1037.16010804013
"3",86,1377,232,137,602,917,61,1377,137,602,917,153,7.70799248689177,6.3434143978962,4.9168886077011,1.29654793061219,1000.29200751311,2035.41598497378,972.59752444289
"4",70,1387,209,96,451,922,61,1396,97,454,928,156,8.04328659940716,6.17266975527516,5.14332179167555,1.29520524404479,1073.95671340059,1900.08657319881,899.594474849087
"5",82,1297,186,102,472,920,81,1297,102,472,920,168,6.71789429886359,6.50594512820119,5.73144033818381,1.29129759333753,1002.28210570114,1802.43578859773,860.737611669682
"6",75,1279,200,92,443,973,40,1279,92,443,973,149,7.82163714729927,8.73718554460164,6.7341759013112,1.28839463723263,979.178362852701,1770.6432742946,838.138292194908
"7",80,1244,179,122,525,1062,64,1244,122,525,1062,186,9.60380644556846,7.85618871317094,6.5116364481651,1.29094312614989,933.396193554432,1808.20761289114,869.731224428266
"8",85,1273,171,115,456,1027,72,1281,116,459,1033,136,7.93337441846182,5.99267669569499,5.54826445502029,1.28583744114737,979.066625581538,1804.86674883692,868.230796174459
"9",86,1391,197,114,447,922,47,1391,114,447,922,169,8.25793736328901,7.43155257914948,4.9168886077011,1.28922749920218,1071.74206263671,1946.51587472658,929.98568608866
"10",76,1271,213,96,441,827,62,1271,96,441,827,159,5.35858202568155,7.55215761892752,5.41949379092621,1.29001554218328,956.641417974319,1782.71716405136,843.160986351895
"11",78,1305,179,82,374,888,88,1364,86,391,928,141,6.71789429886359,7.04421901542249,5.73144033818381,1.28751282136904,1037.28210570114,1743.43578859773,825.707699124498
"12",68,1372,203,95,509,801,51,1372,95,509,801,150,7.2324626715183,9.075184390786,7.50047784951941,1.29278731997368,1066.76753732848,1874.46492534304,889.756877514157
"13",72,1332,196,55,597,816,42,1340,55,601,821,165,8.36281450726582,11.2283534295288,8.40692183605218,1.297646061926,1072.63718549273,1709.72562901453,799.352590486269
"14",76,1265,210,63,534,812,35,1265,63,534,812,139,6.15447619721736,9.26060718366578,7.53466121806631,1.29324887555648,985.845523802783,1676.30895239443,783.531178943704
"15",74,1380,233,131,542,880,51,1380,131,542,880,137,8.25793736328901,10.0425803986862,7.82835642759376,1.29278731997368,1007.74206263671,2022.51587472658,963.581916194388
"16",87,1417,226,108,539,682,53,1417,108,539,682,136,6.85067066270533,8.06946387301018,7.13883046348521,1.29094312614989,1076.14932933729,1980.70134132541,940.157891782205
"17",88,1563,242,164,589,843,65,1563,164,589,843,172,8.56798633634651,8.52657805251546,6.46523485045123,1.29076243923413,1148.43201366365,2314.13597267269,1111.81428960179
"18",66,1460,239,107,546,900,56,1478,108,553,911,146,7.35469423572852,8.27178051250525,6.94260766390674,1.29094312614989,1106.64530576427,2034.70938847146,962.759945843727
"19",75,1390,197,143,579,841,42,2047,211,536.5,1239,177,6.30059943216861,7.2644252133865,6.27258366478024,1.29309683708796,1043.69940056783,2028.60119886434,980.216565198502
"20",93,1518,268,186,613,760,64,1518,186,613,760,171,6.58208692528715,6.80968502753102,6.46523485045123,1.2842478841083,1057.41791307471,2357.16417385057,1130.43414938428
"21",70,1467,241,154,509,835,48,1467,154,509,835,190,6.00442897728118,6.05377425606717,5.73144033818381,1.29383965427457,1065.99557102272,2182.00885795456,1045.11668270615
"22",81,1363,211,150,556,928,48,1363,150,556,928,170,7.10780457688447,7.85618871317094,6.37036688048799,1.28942856088394,994.892195423115,2038.21560915377,981.62098340795
"23",90,1364,215,153,648,902,72,1364,153,648,902,202,7.2324626715183,8.70774835593455,6.37036688048799,1.28583744114737,988.767537328482,2052.46492534304,989.386500978751
